Date,Inf-Adj TR
1929-11-27,0.012770079
1929-12-02,0.001891142
1929-12-03,0.033869899
1929-12-04,0.018932764
1929-12-05,-0.007706115
1929-12-06,0.026977406
1929-12-09,-0.001770156
1929-12-10,0.008046346
1929-12-11,-0.007961239
1929-12-12,-0.053609028
1929-12-13,0.025492535
1929-12-16,-0.016593676
1929-12-17,0.011239948
1929-12-18,-0.0060364
1929-12-19,-0.026153584
1929-12-20,-0.032636465
1929-12-23,0.005417378
1929-12-24,0.006873595
1929-12-26,0.022526752
1929-12-27,-0.000502633
1929-12-30,0.003819164
1929-12-31,0.027264242
1930-01-02,-0.012131206
1930-01-03,0.002816971
1930-01-06,0.013174105
1930-01-07,-0.008381003
1930-01-08,-0.00048218
1930-01-09,0.015956487
1930-01-10,-0.002781582
1930-01-13,-0.000935812
1930-01-14,0.002314943
1930-01-15,0.004630697
1930-01-16,-0.006472153
1930-01-17,-0.008381003
1930-01-20,0.009372302
1930-01-21,0.005572579
1930-01-22,0.001381658
1930-01-23,0.010165038
1930-01-24,0.009613808
1930-01-27,0.008169411
1930-01-28,-0.004496426
1930-01-29,0.01176847
1930-01-30,0.005825336
1930-01-31,0.014697553
1930-02-03,-0.001746406
1930-02-04,0.012320933
1930-02-05,0.013485348
1930-02-06,-0.010277429
1930-02-07,-0.00345528
1930-02-10,0.006977926
1930-02-11,0.009098058
1930-02-13,0.002162891
1930-02-14,1.94573E-05
1930-02-17,-0.003406807
1930-02-18,0.00130747
1930-02-19,-0.008573079
1930-02-20,-0.018191386
1930-02-21,0.012815118
1930-02-24,-0.010023622
1930-02-25,0.009706797
1930-02-26,0.010058854
1930-02-27,-0.0008506
1930-02-28,0.009113137
1930-03-03,0.003879719
1930-03-04,0.008148773
1930-03-05,-0.007203265
1930-03-06,0.010289141
1930-03-07,0.000443293
1930-03-10,0.003834561
1930-03-11,0.00255563
1930-03-12,-0.010517921
1930-03-13,0.006410941
1930-03-14,-0.005912596
1930-03-17,0.009824914
1930-03-18,0.010160235
1930-03-19,0.005882666
1930-03-20,0.005020821
1930-03-21,0.00665713
1930-03-24,3.16E-05
1930-03-25,-0.000792333
1930-03-26,0.015701067
1930-03-27,-0.001587616
1930-03-28,0.011839305
1930-03-31,-0.027725721
1930-04-01,0.050387706
1930-04-02,-0.010378258
1930-04-03,0.001861265
1930-04-04,0.014973445
1930-04-07,0.002219283
1930-04-08,-0.005598723
1930-04-09,0.015973838
1930-04-10,0.001802768
1930-04-11,-0.003216353
1930-04-14,-0.004386899
1930-04-15,0.000258718
1930-04-16,-0.007122979
1930-04-17,0.007303596
1930-04-21,-0.017993972
1930-04-22,0.008173704
1930-04-23,0.001830812
1930-04-24,-0.007957683
1930-04-25,-0.001313365
1930-04-28,-0.022246837
1930-04-29,-0.001341565
1930-04-30,0.006744308
1930-05-01,-0.02365285
1930-05-02,-0.029597537
1930-05-05,-0.024588245
1930-05-06,0.034386134
1930-05-07,-0.018495861
1930-05-08,0.004304622
1930-05-09,0.01283678
1930-05-12,0.017328294
1930-05-13,0.014142205
1930-05-14,0.006586081
1930-05-15,-0.015836441
1930-05-16,0.004994713
1930-05-19,-0.021385131
1930-05-20,0.005075196
1930-05-21,-0.004585804
1930-05-22,0.002549767
1930-05-23,0.010531847
1930-05-26,0.008766463
1930-05-27,0.000856287
1930-05-28,0.006219112
1930-05-29,0.004955511
1930-06-02,-0.003211417
1930-06-03,-0.008552841
1930-06-04,0.005012808
1930-06-05,-0.015180787
1930-06-06,-0.015847615
1930-06-09,-0.048005878
1930-06-10,0.028613732
1930-06-11,-0.034738491
1930-06-12,-0.002689691
1930-06-13,0.006337976
1930-06-16,-0.075906664
1930-06-17,0.001436363
1930-06-18,-0.034521822
1930-06-19,0.047291344
1930-06-20,-0.025510521
1930-06-23,-0.007437683
1930-06-24,-0.034379703
1930-06-25,0.008199602
1930-06-26,0.024004953
1930-06-27,-0.009036498
1930-06-30,0.033275265
1930-07-01,-0.0099965
1930-07-02,0.011625655
1930-07-03,-0.009507742
1930-07-07,-0.019984601
1930-07-08,0.007816099
1930-07-09,0.015277973
1930-07-10,0.025928894
1930-07-11,-0.009836109
1930-07-14,0.040172297
1930-07-15,-0.001116566
1930-07-16,0.00826083
1930-07-17,0.005411633
1930-07-18,0.009560588
1930-07-21,-0.037369676
1930-07-22,0.018903178
1930-07-23,0.016703607
1930-07-24,-0.012170961
1930-07-25,0.006368909
1930-07-28,0.01563986
1930-07-29,-0.007034878
1930-07-30,-0.025571805
1930-07-31,0.006923075
1930-08-01,-0.004239338
1930-08-04,0.019897352
1930-08-05,0.000475325
1930-08-06,-0.015323931
1930-08-07,-0.005190444
1930-08-08,-0.0370365
1930-08-11,0.006888744
1930-08-12,-0.02501492
1930-08-13,0.014056865
1930-08-14,0.000971603
1930-08-15,0.027261089
1930-08-18,-0.007254143
1930-08-19,0.010212374
1930-08-20,0.005779086
1930-08-21,-0.009596665
1930-08-22,0.007742864
1930-08-25,-0.004815728
1930-08-26,0.014982095
1930-08-27,0.008101588
1930-08-28,2.28824E-06
1930-08-29,0.011833679
1930-09-02,0.000366068
1930-09-03,-0.009924001
1930-09-04,-0.007187282
1930-09-05,0.015121813
1930-09-08,0.013487673
1930-09-09,0.005908434
1930-09-10,0.004493851
1930-09-11,-0.006506266
1930-09-12,-0.010230651
1930-09-15,-0.014520342
1930-09-16,0.001313884
1930-09-17,0.003197086
1930-09-18,-0.010905071
1930-09-19,-0.018145422
1930-09-22,-0.024763292
1930-09-23,0.013284483
1930-09-24,-0.016246597
1930-09-25,-0.018997904
1930-09-26,-0.015307055
1930-09-29,-0.028408577
1930-09-30,-0.015461901
1930-10-01,0.045153174
1930-10-02,-0.011852879
1930-10-03,0.013018549
1930-10-06,-0.041204012
1930-10-07,0.00104286
1930-10-08,-0.011309791
1930-10-09,-0.039168399
1930-10-10,0.025406533
1930-10-14,-0.010538162
1930-10-15,0.016697642
1930-10-16,-0.017077012
1930-10-17,-0.039762888
1930-10-20,0.024398288
1930-10-21,-0.029090445
1930-10-22,-0.008292081
1930-10-23,0.014706639
1930-10-24,0.035511409
1930-10-27,0.002760362
1930-10-28,0.005004952
1930-10-29,-0.016851819
1930-10-30,-0.011460241
1930-10-31,-0.022562479
1930-11-03,0.011740346
1930-11-05,-0.029247806
1930-11-06,0.002329402
1930-11-07,-0.033109226
1930-11-10,-0.033658314
1930-11-11,0.016611924
1930-11-12,0.022690273
1930-11-13,0.026546715
1930-11-14,0.020451946
1930-11-17,-0.023750253
1930-11-18,0.011446738
1930-11-19,0.021532811
1930-11-20,-0.003590759
1930-11-21,0.015872695
1930-11-24,-0.008196638
1930-11-25,-0.011205739
1930-11-26,-0.013718856
1930-11-28,-0.013322792
1930-12-01,0.026773606
1930-12-02,0.010656389
1930-12-03,-0.01596642
1930-12-04,-0.013864422
1930-12-05,0.001741592
1930-12-08,-0.026864987
1930-12-09,0.001758753
1930-12-10,-0.014511977
1930-12-11,-0.010310524
1930-12-12,-0.006584463
1930-12-15,-0.03062374
1930-12-16,-0.032334623
1930-12-17,0.047531471
1930-12-18,0.008412526
1930-12-19,0.012302093
1930-12-22,-0.032005823
1930-12-23,0.006508923
1930-12-24,0.014501563
1930-12-26,-0.01931597
1930-12-29,-0.00762163
1930-12-30,0.024230405
1930-12-31,0.019724876
1931-01-02,0.03408371
1931-01-05,0.005884614
1931-01-06,0.013392161
1931-01-07,-0.063638778
1931-01-08,0.076384015
1931-01-09,-0.009020992
1931-01-12,-0.013475088
1931-01-13,-0.011157654
1931-01-14,0.012338893
1931-01-15,-0.022536046
1931-01-16,0.013127076
1931-01-19,-0.011303279
1931-01-20,0.021535873
1931-01-21,0.000837296
1931-01-22,0.019214989
1931-01-23,0.022617009
1931-01-26,-0.000380731
1931-01-27,-0.004040753
1931-01-28,-0.017545057
1931-01-29,0.010200591
1931-01-30,0.002074216
1931-02-02,-0.001028299
1931-02-03,0.005775253
1931-02-04,0.00636663
1931-02-05,-0.005911372
1931-02-06,0.003907434
1931-02-09,0.043234039
1931-02-10,0.016744629
1931-02-11,0.003726732
1931-02-13,-0.004962336
1931-02-16,0.010137913
1931-02-17,-0.015899636
1931-02-18,0.00962253
1931-02-19,0.014196792
1931-02-20,0.016888958
1931-02-24,0.026798842
1931-02-25,-0.010182451
1931-02-26,0.011954475
1931-02-27,-0.006880195
1931-03-02,-0.027767979
1931-03-03,-0.000623288
1931-03-04,-0.008624593
1931-03-05,0.020702866
1931-03-06,-0.020397563
1931-03-09,0.025922421
1931-03-10,-0.001734044
1931-03-11,-0.010768362
1931-03-12,-0.006331051
1931-03-13,-0.004079437
1931-03-16,0.026499789
1931-03-17,-0.010173913
1931-03-18,0.013601256
1931-03-19,0.011747967
1931-03-20,0.003294444
1931-03-23,-0.016092977
1931-03-24,0.007274965
1931-03-25,-0.005074465
1931-03-26,-0.012980048
1931-03-27,-0.018295988
1931-03-30,-0.031439843
1931-03-31,0.002319045
1931-04-01,-0.009646516
1931-04-02,-0.003697945
1931-04-06,0.003578736
1931-04-07,-0.01279399
1931-04-08,0.014052734
1931-04-09,-0.004915262
1931-04-10,0.003586145
